,ROC,PRC,F1,ACC,MCC,cohort,mode
Test,0.6166666666666667,0.3292857142857143,0.3636363636363636,0.5882352941176471,0.06356417261637282,Miao,"Original abundance
(p=15672)"
Test,0.2551020408163265,0.23871576265152117,0.16666666666666666,0.5238095238095238,-0.15811388300841897,Snyder,"Original abundance
(p=15672)"
Test,0.5220588235294117,0.3004896969752814,0.5185185185185185,0.48,0.1847166127834302,SU2CLC2,"Original abundance
(p=15672)"
Test,0.45454545454545453,0.3903279592607656,0.380952380952381,0.48,-0.0657951694959769,Zhao,"Original abundance
(p=15672)"
Test,0.5654761904761905,0.596045124216708,0.45454545454545453,0.5384615384615384,0.11572751247156893,Hugo,"Original abundance
(p=15672)"
Test,0.356060606060606,0.27719163803347074,0.0,0.5882352941176471,-0.1846372364689991,MGH,"Original abundance
(p=15672)"
Test,0.4467455621301775,0.30806484514202936,0.34782608695652173,0.6153846153846154,0.08304547985373996,Allen,"Original abundance
(p=15672)"
Test,0.6742424242424242,0.5370517798409508,0.5,0.6444444444444445,0.26967994498529685,Kim,"Original abundance
(p=15672)"
Test,0.275609756097561,0.13300531477033886,0.0,0.6862745098039216,-0.18033392693348646,Riaz,"Original abundance
(p=15672)"
Test,0.6431818181818182,0.6489551125904898,0.5633802816901409,0.5753424657534246,0.16781478586629586,Gide,"Original abundance
(p=15672)"
Test,0.5154109589041096,0.30364754985867404,0.2,0.6404494382022472,-0.020743131033477216,Rose,"Original abundance
(p=15672)"
Test,0.558799342105263,0.38677553319142305,0.3384615384615384,0.5784313725490197,0.04325904563487001,SU2CLC1,"Original abundance
(p=15672)"
Test,0.5705838876570585,0.42373287091321904,0.46511627906976744,0.5700934579439252,0.10736334113013533,Liu,"Original abundance
(p=15672)"
Test,0.6043447293447294,0.3596269114786845,0.4418604651162791,0.41818181818181815,0.05951285697098229,IMmotion150,"Original abundance
(p=15672)"
Test,0.6277493606138107,0.3142748439681339,0.41004184100418406,0.5268456375838926,0.16136995360914927,IMVigor210,"Original abundance
(p=15672)"
