BroadCelltypePathway	total_num_genes	unique_genes	num_genesets	total_num_unique_genes
Epithelial	19	CITED4:KRT7:TFF1:TFF2:CLDN7:CLDN4:CDH1:HMGCS2:KLK1:LGALS4:SOX9:KRT19:EPCAM:FGFR2:MMP7:SFRP5:SLC12A2:SMIM22	2	18
Stroma	21	ADAMTS12:SULF1:COL3A1:ISLR:PRRX1:PCDH18:EDNRA:THY1:PDGFRA:FNDC1:COL5A2:COL12A1:CDH11:COL14A1:MXRA5:COL1A2:COL1A1:POSTN:BGN:DCN:LUM	1	21
Granulocyte	24	CCR3:CTSG:CLC:FCGR3B:HDC:RNASE2:SIGLEC8:ELANE:AZU1:CPA3:IL4:EPX:FUT9:RNASE3:MPO:PRG2:MS4A3:PRTN3	4	18
NKcell	25	FUT7:KIR3DL1:IL21R:LIM2:KIR2DL4:XCL2:TNFRSF18:NCR1:KLRF1:CCR7:KIR2DL3:FCGR3A:FCRL6:FGFBP2:IL18RAP:CD160:KLRC1:XCL1:SPON2:KIR3DL2:SELL:S1PR5	5	22
Monocyte	25	CDH23:S100A8:S100A9:LYPD2:GPBAR1:S100A12:FCAR:LYZ:CD300E:FCN1:LIPN:LILRA5:CLEC4D:CLEC12A:MS4A14:SLC11A1:MCEMP1:IL1B:CAMP:IER3:VCAN:SOD2	5	22
Reference	28	HPRT1:ZNF207:LDHA:GUSB:SNRPD3:ACTB:ABCF1:RPLP0:SDHA:YWHAZ:PGK1:POLR1B:ALAS1:CLTC:HNRNPK:TUBB:G6PD:B2M:TBP:RPL19:POLR2A:HNRNPU:UBC:SRRM1:GAPDH	3	25
CD4_Tcell	31	NR3C2:IL17A:IL21R:PABPC1:EOMES:TNFRSF4:HDAC4:IL7R:ICOS:LEF1:MFHAS1:SESN1:TRAT1:CD48:ADD3:IL2RG:CD4:IL17RE:PABPC3:IL2RB:DSC1:RORC:CD40LG:IL23R:SELL:IL2RA:IL2:BACH2:TRABD2A	4	29
Treg	32	TNFRSF18:IKZF2:S1PR4:CCR8:CCR4:CDC25B:BATF:FOXP3:CCL22:RTKN2:TNFRSF13B:IL21R:IL2RA:CTLA4:CD80:LAYN:LAIR2:IL10RA	5	18
cDC	37	CLEC9A:UPK3A:CCL22:HMSD:CD1D:ENHO:C1orf54:THBD:CD1C:CCL19:ZNF366:ENPP1:IDO1:UBD:PPM1J:CRLF2:FLT3:IRF8:BATF3:CLNK:CD1E:CCL17:FCER1A:CLEC10A:NCCRP1:XCR1	7	26
Cytotoxic_Tcell	40	CD3E:KLRK1:GZMH:SAMD3:NKG7:KLF2:CD247:GZMK:KLRB1:KLRD1:CD8B:GZMB:FGFBP2:TBX21:MATK:GNLY:PRF1:CTSW:CD8A:CD2:CX3CR1:GZMA	6	22
Myeloid	40	FCGR3B:CD33:WDFY4:MS4A4E:CD163:CCL22:CD300LB:CYBB:LY86:FPR3:CLEC5A:CD300E:SIGLEC7:CD1C:FCN1:MS4A6A:LILRB4:OLR1:CSF3R:MS4A7:RNASE6:VSIG4:HDC:MPEG1:MNDA:CSF1R:C5AR1:LILRB2:LILRA1:MS4A14:MS4A4A:SIGLEC1:C3AR1:FCGR2A:FCER1A:CD1E:CLEC10A:FPR1	2	38
IFNg_pathway	41	CD3E:HLA-DRA:STAT1:EOMES:CXCL10:CXCL13:CCR5:CXCR6:CD3D:NKG7:IFNG:GZMK:IDO1:GZMB:IL2RG:TBX21:CIITA:PRF1:CXCL9:CD8A:LAG3:CXCL11:HLA-E:CD2:TAGAP:GZMA	4	26
Cell_proliferation	47	ATAD2:BLM:CDC6:BIRC5:CDC45:FEN1:AURKA:UBE2C:DTYMK:SKA2:UNG:CENPE:TOP2A:CLSPN:HMGB2:BRIP1:CCNE2:CDC20:CENPA:RFC2:MCM4:CDK1:CDCA7:SAE1:CDCA3:GMPS:CHAF1B:RAD51:AURKB:CDCA2:GINS2:MCM2:E2F8:ANLN:NEK2:PCNA:MKI67:EXO1:HELLS:KIF23:POLA1:DTL:MCM7:GMNN:STMN1:KIF11	3	46
Tcell_general	50	CD3E:GRAP2:KLRK1:ZNF831:GZMH:EOMES:PHACTR2:UBASH3A:FASLG:SH2D1A:ITK:LGALS3:CXCR6:CD3D:IL7R:SLC4A10:CEBPD:ICOS:ZBTB16:CXCL3:CXCR4:CCR2:GZMK:KLRB1:SIRPG:ZAP70:TRAT1:SERPINE1:CD8B:MMP2:CD6:ADAM12:CTLA4:TBX21:IL18RAP:CXXC5:CD8A:NCR3:PYHIN1:CD40LG:THEMIS:CD3G:GZMA	4	43
Innate_lymphoid_cell	51	CCL20:IL17A:KIR3DL1:MPL:IL9:EOMES:TSLP:STAT4:LTBR:IL5:KIR2DL1:IL15RA:NCR1:TNF:ICOS:BCL11B:VIPR2:AHR:IFNG:IL4:LIF:MADCAM1:NFKBIZ:GATA3:IL22:IL13:RUNX3:NKX2-3:IL17F:GZMB:STAT3:IL18RAP:CRLF2:TBX21:IL17RB:RORA:PRF1:CCR6:KIT:IL2RB:ARNTL:RORC:CD40LG:HLA-E:IL12RB2:IL23R:LTA:SYK:IL12RB1:IL2RA:IL1R1	3	51
TGFb_pathway	56	PDGFA:CNN1:TWIST1:CTPS1:VIM:PDGFRB:WNT5A:TNS1:ROR2:ACVR1:PXDC1:TGFBI:AXL:TNFRSF1A:IFNGR1:SH3PXD2A:SEMA7A:CLDN7:IGFBP3:FAP:LIF:GATA6:COL4A1:ADAM19:HSPB1:ZEB2:FLT4:TAGLN:TNFRSF14:LOXL2:SOX9:ACTA2:ADAM12:TGFBR2:IL4R:KIT:FSTL3:TWIST2:ACTG2:IL6ST:TPM1:CDH1:CLDN4:ZEB1:TNFRSF10B:TGFB1:CCL24:CLDN3:FOXF1	6	49
Genome_integrity	64	RNASEH2A:CDKN2B:CDC6:ATM:CDC45:E2F1:FEN1:MCM7:FBXW7:PKMYT1:TP53:POLE:POLE3:TTK:RFC2:CDC20:MCM4:TFDP1:CCNB1:CDC25A:APOBEC3A:RAD51:POLD1:APOBEC3B:CDKN1A:FANCC:RPA1:MCM2:ATRIP:CCND1:E2F3:EME1:FANCG:MDM2:RB1:RAD23B:LIG1:RAD23A:ESPL1:CCNE1:RMI1:E2F2:ANAPC2:CDKN2A:RAD54L	8	45
Macrophage	77	CRH:TREM2:LILRB5:DHRS2:FOLR2:SDS:CDR2L:APOE:CD163:ALOX15:C1QB:F13A1:MSR1:CD84:RAB33A:CXCL10:CD1A:CD68:ESPNL:CMTM8:IPCEF1:PPP1R14A:RGS18:ABCC4:CCL13:TMIGD3:CD209:ITM2C:MS4A6A:C1QC:CALCRL:QPRT:GPT:ZNF366:PALLD:GALNT18:VSIG4:FABP4:RNASE1:RAB30:SH3BP4:MOCOS:CXCL5:RRS1:SYT17:CCL26:GATM:STAB1:MS4A4A:PLA2G7:SIGLEC1:IL17RB:PDGFC:DUOXA1:MAP4K1:CXCL9:FCER1A:CD1E:CCL17:SLAMF9:PON2:CXCL11:PCED1B:FOXQ1:MAOA:SLCO2B1:RASAL1:RAMP1:MARCO:FAM189A2:MMP19:PARM1	7	72
CD8_Tcell	95	GZMH:GOLIM4:HAVCR2:PDCD1:ENTPD1:ULBP3:HLA-C:S1PR1:UBE2F:AOAH:HCST:HOXB4:RAD51:EBP:TNFRSF9:GZMB:ADD3:SLAMF6:MATK:CRIM1:LYST:TTC24:VCAM1:SELL:GRIK4:ABI3:TNFAIP8:HLA-DMA:SNRPD1:SETBP1:KLRD1:SIRPG:TRPS1:CD8B:KLRC4:PRF1:LAG3:MCM5:MYO7A:ZNF696:WARS1:BTNL8:NAA40:CST7:KLRC2:WNT9A:GZMM:CXCL13:PLAC8:NKG7:NDUFB3:APOBEC3G:HLA-DPB1:MCTP2:ZNF683:APOBEC3C:AFAP1L2:GNLY:CTSW:CD8A:DPF3:FABP5:ARPC5L:CERS5:S1PR5:GZMA:PRDX3:KLRK1:CASP7:KLRG1:FASLG:HLA-DMB:SERP2:CD38:TCF7:PSMB9:TMCC2:IL7R:YARS1:CTLA4:ITGB7:SNAP47:CXCR3:EPSTI1	6	84
Exhausted_Tcell	95	BTG1:ABCB1:EOMES:HAVCR2:DHX58:ENTPD1:PDCD1:FOSB:PTGER4:SPP1:C1QC:SAMD3:IFNG:TMEM88:ATP1B3:IFI16:SYCP2L:DEDD2:TNFRSF9:CD200:HSPA1A:TF:CAMK2N1:PRDM1:TOX:SLC14A1:PARK7:ETV1:THADA:RNF19A:TMBIM6:TRIM15:ABI3:SH2D1A:ID3:IFIT3:HLA-DMA:CD244:FAM3C:FDFT1:IFIT1B:DSEL:MACC1:BCKDHB:TNFRSF1B:RBPJ:CRTAM:NR4A3:UQCRC1:LAG3:CD27:MYO7A:INPP5F:WARS1:VPS37B:POU6F1:CD69:TIGIT:XCL2:CUEDC1:CXCL13:SPATA20:KCNK5:DUSP1:ADRB2:CYSLTR2:NR4A2:RGS16:TNN:SKI:JUN:ZC3H7A:DUSP26:CD38:RGS2:TNFAIP3:CTSS:RTP4:EGR2:MAF:RNF166:SFN:ZBED2:RGS1:HSPA1B:EIF3L:CPEB1:SLA	5	88
Cytokine	172	BMP1:TNFSF4:IL23A:WNT6:WNT9B:IL9:IL1A:TNFSF12:CCL28:IFNA21:IL31:IL17C:IFNA14:BMP7:CCL2:CX3CL1:OSM:TNFRSF11B:TNF:IFNK:IFNA6:WNT16:WNT3A:IFNG:NAMPT:WNT7A:IL1F10:IL1RN:KITLG:GDF11:GDF7:TNFRSF9:CXCL14:IL1B:IFNB1:CXCL9:GDF9:GDF6:THPO:CXCL11:LEFTY1:BMP5:WNT2:BMP8B:VEGFA:IL36A:CXCL17:WNT10A:AIMP1:CXCL8:IL32:CXCL6:NOG:BMP15:TNFSF15:CCL1:IFNL1:IL36G:IL4:CSF1:CCL25:IL22:GDF3:BMP2:WNT2B:FLT3LG:CCL21:IFNA2:IL17F:IL25:BMP10:FGF2:IFNW1:IL17B:CCL17:SCGB3A1:LTA:IL11:IL2RA:IL2:GDF5:BMP4:IFNL3:IFNA10:IL36RN:TNFSF10:IL17A:IFNE:MSTN:WNT10B:XCL2:IL34:IL33:ALKAL1:WNT9A:CXCL10:IL5:CXCL12:WNT5B:TNFSF11:IL21:CXCL13:GREM2:CNTF:IL6:CCL8:GDF15:IFNA4:CXCL3:IL37:TNFSF8:MYDGF:CCL26:CCL11:WNT4:IFNA1:IL27:XCL1:WNT1:INHBB:IL20:BMP6:IL6R:IL24:INHBC:IL7:IFNA13:CSF2:CCL20:IFNL2:CXCL1:CCL22:SCG2:IL15:FASLG:CCL7:IL12B:GREM1:CCL13:BMP8A:CCL19:TNFSF18:CSF3:IL16:IFNA5:TNFSF13:WNT3:IL18:TNFSF14:CXCL16:CXCL2:INHBA:IFNA17:IL3:TGFB3:CD40LG:IL26:CCL24:IL10:INHBE:IFNA8:IFNA7:IL19:CXCL5:TNFSF9	7	165
