	domain	group	train_cohort	test_cohort	mode	best_epoch	test_cohort_rgc	ROC	PRC	F1	ACC	MCC
17	drug2drug	SKCM_HiSeq2500	SKCM_HiSeq2500_Ipi	SKCM_HiSeq2500_Pembro	FFT	9	0.5144861928474422	0.6125874125874126	0.5268633100409987	0.5981308411214953	0.5425531914893617	0.18280800928951996
18	drug2drug	SKCM_HiSeq2500	SKCM_HiSeq2500_Nivo	SKCM_HiSeq2500_Ipi	FFT	8	0.5555555555555556	0.6094674556213018	0.4068939378059303	0.5416666666666666	0.4358974358974359	0.23904572186687872
19	drug2drug	SKCM_HiSeq2500	SKCM_HiSeq2500_Nivo	SKCM_HiSeq2500_Pembro	FFT	8	0.5144861928474422	0.5459207459207459	0.43562087155872276	0.6017699115044248	0.5212765957446809	0.17398715547858776
20	drug2drug	SKCM_HiSeq2500	SKCM_HiSeq2500_Pembro	SKCM_HiSeq2500_Ipi	FFT	3	0.5555555555555556	0.606508875739645	0.4228665740181362	0.5	0.5897435897435898	0.18136906252750293
21	drug2drug	SKCM_HiSeq2500	SKCM_HiSeq2500_Pembro	SKCM_HiSeq2500_Nivo	FFT	3	0.5246913580246914	0.56998556998557	0.5111499538959239	0.4	0.6111111111111112	0.1348399724926484
22	sequencer2sequencer	BLCA_Atezo	BLCA_Atezo_HiSeq2500	BLCA_Atezo_HiSeq4000	FFT	5	0.5555555555555555	0.33673469387755106	0.2486983672134048	0.0	0.47619047619047616	-0.3429971702850177
23	sequencer2sequencer	BLCA_Atezo	BLCA_Atezo_HiSeq2500	BLCA_Atezo_NovaSeq6000	FFT	5	0.6179591836734695	0.5213675213675214	0.260231843139035	0.0	0.7428571428571429	0.0
24	sequencer2sequencer	BLCA_Atezo	BLCA_Atezo_HiSeq4000	BLCA_Atezo_HiSeq2500	FFT	7	0.6477636142516103	0.5252557544757033	0.2469488914833553	0.14678899082568808	0.6879194630872483	-0.03147056215418338
25	sequencer2sequencer	BLCA_Atezo	BLCA_Atezo_HiSeq4000	BLCA_Atezo_NovaSeq6000	FFT	7	0.6179591836734695	0.8034188034188035	0.5918301829819754	0.5333333333333333	0.8	0.426202407305871
26	sequencer2sequencer	BLCA_Atezo	BLCA_Atezo_NovaSeq6000	BLCA_Atezo_HiSeq2500	FFT	6	0.6477636142516103	0.5758312020460358	0.2795994941366823	0.05128205128205128	0.7516778523489933	-0.012515974447412653
27	sequencer2sequencer	BLCA_Atezo	BLCA_Atezo_NovaSeq6000	BLCA_Atezo_HiSeq4000	FFT	6	0.5555555555555555	0.5816326530612245	0.5175910555609804	0.25	0.7142857142857143	0.31622776601683794
28	sequencer2sequencer	SKCM_Nivo	SKCM_Nivo_HiSeq2000/2500	SKCM_Nivo_HiSeq2500	FFT	10	0.5246913580246914	0.5569985569985569	0.44394456384443337	0.0909090909090909	0.6296296296296297	0.1721905795545492
29	sequencer2sequencer	SKCM_Nivo	SKCM_Nivo_HiSeq2500	SKCM_Nivo_HiSeq2000/2500	FFT	8	0.6847366397539408	0.4902439024390244	0.3531873197889571	0.25	0.29411764705882354	-0.16442820542357392
30	sequencer2sequencer	SKCM_Pembro	SKCM_Pembro_HiSeq2000	SKCM_Pembro_HiSeq2500	FFT	7	0.5144861928474422	0.4372960372960373	0.3546815504977051	0.5909090909090909	0.425531914893617	0.08731914699013638
31	sequencer2sequencer	SKCM_Pembro	SKCM_Pembro_HiSeq2500	SKCM_Pembro_HiSeq2000	FFT	3	0.5029585798816568	0.3630952380952381	0.48278691881397484	0.2608695652173913	0.34615384615384615	-0.2993924754260479
