,Index
157,IMVigor210-727c0e-ar-727c0e9
158,IMVigor210-065890-ar-0658907
159,IMVigor210-2e9ac0-ar-2e9ac0b
160,IMVigor210-3e04eb-ar-3e04eb9
161,IMVigor210-5a2347-ar-5a2347c
162,IMVigor210-cabb6d-ar-cabb6d5
163,IMVigor210-cb132b-ar-cb132b0
164,IMVigor210-39eb94-ar-39eb94f
165,IMVigor210-5fe7a8-ar-5fe7a81
166,IMVigor210-4b0175-ar-4b0175e
167,IMVigor210-c0ef41-ar-c0ef41a
168,IMVigor210-e41b1e-ar-e41b1e7
169,IMVigor210-5767dd-ar-5767dd7
170,IMVigor210-a1e62d-ar-a1e62d3
171,IMVigor210-3ee5dc-ar-3ee5dcd
172,IMVigor210-1c0ecf-ar-1c0ecfb
173,IMVigor210-6792d6-ar-6792d6e
174,IMVigor210-0d855c-ar-0d855cf
175,IMVigor210-e7e4f7-ar-e7e4f7c
176,IMVigor210-f20b82-ar-f20b827
177,IMVigor210-0a7c20-ar-0a7c209
178,IMVigor210-0ce9c9-ar-0ce9c98
179,IMVigor210-0f956e-ar-0f956e7
180,IMVigor210-f275eb-ar-f275eb8
181,IMVigor210-6dd7ad-ar-6dd7ad1
182,IMVigor210-0257bb-ar-0257bbb
183,IMVigor210-14df63-ar-14df63a
184,IMVigor210-ee3844-ar-ee3844c
185,IMVigor210-fb7aec-ar-fb7aec7
186,IMVigor210-2dc3f0-ar-2dc3f04
187,IMVigor210-9e11ec-ar-9e11ec6
188,IMVigor210-568ce1-ar-568ce16
189,IMVigor210-f82bbd-ar-f82bbdc
190,IMVigor210-c1b27b-ar-c1b27bc
191,IMVigor210-e9475f-ar-e9475f7
192,IMVigor210-286870-ar-2868703
193,IMVigor210-18b935-ar-18b9351
194,IMVigor210-a1871f-ar-a1871f4
195,IMVigor210-aaf505-ar-aaf505c
196,IMVigor210-e7bcab-ar-e7bcab0
197,IMVigor210-230959-ar-2309593
198,IMVigor210-9539a4-ar-9539a4f
199,IMVigor210-957378-ar-957378b
200,IMVigor210-bc8dc3-ar-bc8dc3a
201,IMVigor210-db3f50-ar-db3f50c
202,IMVigor210-ef0e3d-ar-ef0e3d2
203,IMVigor210-eff2ce-ar-eff2ce3
204,IMVigor210-181b63-ar-181b638
205,IMVigor210-26104d-ar-26104d5
206,IMVigor210-d98bac-ar-d98bac0
207,IMVigor210-5b57e4-ar-5b57e47
208,IMVigor210-58e783-ar-58e7832
209,IMVigor210-e3d426-ar-e3d4266
210,IMVigor210-2e7aa8-ar-2e7aa8f
211,IMVigor210-7bff23-ar-7bff231
212,IMVigor210-18a4da-ar-18a4dab
213,IMVigor210-12502d-ar-12502d9
214,IMVigor210-34430e-ar-34430ef
215,IMVigor210-972530-ar-9725303
216,IMVigor210-d2492b-ar-d2492b2
217,IMVigor210-1abf01-ar-1abf01d
218,IMVigor210-47fc46-ar-47fc46c
219,IMVigor210-30cf07-ar-30cf07d
220,IMVigor210-b8101c-ar-b8101c5
221,IMVigor210-9aa6a0-ar-9aa6a09
222,IMVigor210-e9ae8b-ar-e9ae8be
223,IMVigor210-54e58f-ar-54e58f1
224,IMVigor210-cc4675-ar-cc4675f
225,IMVigor210-b15ad0-ar-b15ad09
226,IMVigor210-ce39dd-ar-ce39dd7
227,IMVigor210-bfdffb-ar-bfdffb9
228,IMVigor210-961d04-ar-961d04c
229,IMVigor210-59fda9-ar-59fda90
230,IMVigor210-80c618-ar-80c6183
231,IMVigor210-0684af-ar-0684af7
232,IMVigor210-2570ff-ar-2570ff4
233,IMVigor210-7fb698-ar-7fb6987
234,IMVigor210-97a00e-ar-97a00e0
235,IMVigor210-52500c-ar-52500ca
236,IMVigor210-e97af0-ar-e97af0f
237,IMVigor210-110501-ar-110501d
238,IMVigor210-27299a-ar-27299ae
239,IMVigor210-675a12-ar-675a12a
240,IMVigor210-1c8b08-ar-1c8b086
241,IMVigor210-0571f1-ar-0571f17
242,IMVigor210-149386-ar-1493861
243,IMVigor210-d215b5-ar-d215b50
244,IMVigor210-2f2289-ar-2f22893
245,IMVigor210-bf1a3a-ar-bf1a3ae
246,IMVigor210-7538ad-ar-7538ad9
247,IMVigor210-31d917-ar-31d9176
248,IMVigor210-5d1dfd-ar-5d1dfd5
249,IMVigor210-eaa477-ar-eaa477a
250,IMVigor210-ba1a34-ar-ba1a34b
251,IMVigor210-1a87df-ar-1a87df7
252,IMVigor210-7f0d9c-ar-7f0d9cc
253,IMVigor210-6d2ae0-ar-6d2ae0c
254,IMVigor210-18bc10-ar-18bc107
255,IMVigor210-07a93a-ar-07a93a2
256,IMVigor210-28e603-ar-28e6031
257,IMVigor210-5cc2d9-ar-5cc2d90
258,IMVigor210-c0d625-ar-c0d625a
259,IMVigor210-180398-ar-1803982
260,IMVigor210-62fb13-ar-62fb138
261,IMVigor210-6083aa-ar-6083aac
262,IMVigor210-91c47b-ar-91c47b0
263,IMVigor210-a535fc-ar-a535fcd
264,IMVigor210-6ff654-ar-6ff654a
265,IMVigor210-7114d9-ar-7114d99
266,IMVigor210-7fb7a1-ar-7fb7a13
267,IMVigor210-fed609-ar-fed6099
268,IMVigor210-166a41-ar-166a419
269,IMVigor210-753d4b-ar-753d4bb
270,IMVigor210-1ac4e3-ar-1ac4e3d
271,IMVigor210-e1eb5d-ar-e1eb5d9
272,IMVigor210-8e8ef2-ar-8e8ef23
273,IMVigor210-aabf4a-ar-aabf4af
274,IMVigor210-5cfa16-ar-5cfa169
275,IMVigor210-bcbc79-ar-bcbc795
276,IMVigor210-7829a3-ar-7829a34
277,IMVigor210-b419a8-ar-b419a8f
278,IMVigor210-7d7c54-ar-7d7c546
279,IMVigor210-94859b-ar-94859b4
280,IMVigor210-dcae54-ar-dcae54f
281,IMVigor210-468a9e-ar-468a9e1
282,IMVigor210-b0a83e-ar-b0a83e5
283,IMVigor210-9a2cf3-ar-9a2cf3c
284,IMVigor210-3b15b4-ar-3b15b4c
285,IMVigor210-d135d5-ar-d135d58
286,IMVigor210-ae1690-ar-ae16904
287,IMVigor210-ad83c9-ar-ad83c9c
288,IMVigor210-63405b-ar-63405b0
289,IMVigor210-d35318-ar-d353181
290,IMVigor210-e07c45-ar-e07c456
291,IMVigor210-aec738-ar-aec7380
292,IMVigor210-6cbc10-ar-6cbc10a
293,IMVigor210-a424c7-ar-a424c75
294,IMVigor210-af42c1-ar-af42c15
295,IMVigor210-b2e4a0-ar-b2e4a08
296,IMVigor210-08cce2-ar-08cce2f
297,IMVigor210-c69253-ar-c692536
298,IMVigor210-1e9c4d-ar-1e9c4d1
299,IMVigor210-75142f-ar-75142fc
300,IMVigor210-262422-ar-2624229
301,IMVigor210-a913c6-ar-a913c61
302,IMVigor210-d43f89-ar-d43f893
303,IMVigor210-d4c083-ar-d4c0837
304,IMVigor210-2eb07d-ar-2eb07de
305,IMVigor210-5d989c-ar-5d989c8
306,IMVigor210-b0d11d-ar-b0d11db
307,IMVigor210-d36012-ar-d360128
308,IMVigor210-075e03-ar-075e037
309,IMVigor210-563d62-ar-563d623
310,IMVigor210-2070b4-ar-2070b41
311,IMVigor210-822b22-ar-822b226
312,IMVigor210-7c67b0-ar-7c67b05
313,IMVigor210-978a58-ar-978a587
314,IMVigor210-9dacca-ar-9daccaf
315,IMVigor210-0a0f2b-ar-0a0f2ba
316,IMVigor210-d02712-ar-d027124
317,IMVigor210-59f392-ar-59f3928
318,IMVigor210-4501e4-ar-4501e41
319,IMVigor210-1f83eb-ar-1f83ebd
320,IMVigor210-e94c30-ar-e94c30c
321,IMVigor210-8f2275-ar-8f2275c
322,IMVigor210-85f0a3-ar-85f0a3a
323,IMVigor210-dab9ca-ar-dab9ca8
324,IMVigor210-abc151-ar-abc151b
325,IMVigor210-dee101-ar-dee1011
326,IMVigor210-b2f1d0-ar-b2f1d0e
327,IMVigor210-bcb07b-ar-bcb07ba
328,IMVigor210-a9ca85-ar-a9ca853
329,IMVigor210-4caabd-ar-4caabd6
330,IMVigor210-f28c01-ar-f28c015
331,IMVigor210-8a1b0e-ar-8a1b0e0
332,IMVigor210-b8070b-ar-b8070b7
333,IMVigor210-7aa01f-ar-7aa01fc
334,IMVigor210-032c64-ar-032c642
335,IMVigor210-52e3fa-ar-52e3fa3
336,IMVigor210-b15ac6-ar-b15ac6e
337,IMVigor210-36d873-ar-36d8739
338,IMVigor210-d636e3-ar-d636e34
339,IMVigor210-670649-ar-670649e
340,IMVigor210-ae0262-ar-ae02629
341,IMVigor210-557dde-ar-557dde1
342,IMVigor210-76a431-ar-76a431b
343,IMVigor210-73663e-ar-73663ee
344,IMVigor210-b470eb-ar-b470eb8
345,IMVigor210-c6eff0-ar-c6eff05
346,IMVigor210-560f23-ar-560f23d
347,IMVigor210-e71235-ar-e712352
348,IMVigor210-36a922-ar-36a9225
349,IMVigor210-187e05-ar-187e056
350,IMVigor210-1f66db-ar-1f66db5
351,IMVigor210-771445-ar-771445e
352,IMVigor210-6662f5-ar-6662f51
353,IMVigor210-d7d57e-ar-d7d57ee
354,IMVigor210-ae4da2-ar-ae4da27
355,IMVigor210-9cafb9-ar-9cafb90
356,IMVigor210-36851b-ar-36851bc
357,IMVigor210-c919ae-ar-c919aeb
358,IMVigor210-e50d15-ar-e50d15f
359,IMVigor210-df3e42-ar-df3e42c
360,IMVigor210-b963dd-ar-b963dda
361,IMmotion150-p48954-ar-37f99
362,IMmotion150-p64208-ar-cb57a
363,IMmotion150-p77606-ar-73bce
364,IMmotion150-p69986-ar-f1402
365,IMmotion150-p52299-ar-8e4c5
366,IMmotion150-p32845-ar-b9ecc
367,IMmotion150-p75903-ar-ea05a
368,IMmotion150-p77592-ar-348b3
369,IMmotion150-p33602-ar-6d415
370,IMmotion150-p92156-ar-acf8a
371,IMmotion150-p67597-ar-3e120
372,IMmotion150-p09862-ar-3ec4d
373,IMmotion150-p62140-ar-b5aff
374,IMmotion150-p03363-ar-a74ac
375,IMmotion150-p35813-ar-90caf
376,IMmotion150-p33581-ar-1342d
377,IMmotion150-p56237-ar-935a8
378,IMmotion150-p83356-ar-c889c
379,IMmotion150-p57834-ar-689be
380,IMmotion150-p78903-ar-d309d
381,IMmotion150-p43682-ar-c925d
382,IMmotion150-p13588-ar-5af67
383,IMmotion150-p98987-ar-12652
384,IMmotion150-p84637-ar-a617b
385,IMmotion150-p38868-ar-e9e28
386,IMmotion150-p37011-ar-a4d25
387,IMmotion150-p69129-ar-219d6
388,IMmotion150-p48663-ar-37ce7
389,IMmotion150-p04168-ar-9925b
390,IMmotion150-p18896-ar-ddffc
391,IMmotion150-p73074-ar-379fe
392,IMmotion150-p68239-ar-97ff2
393,IMmotion150-p72473-ar-24ab7
394,IMmotion150-p17379-ar-faed6
395,IMmotion150-p26467-ar-a6506
396,IMmotion150-p97909-ar-c7295
397,IMmotion150-p63636-ar-c0f7a
398,IMmotion150-p21589-ar-55cc6
399,IMmotion150-p52272-ar-5b320
400,IMmotion150-p92137-ar-a61f4
401,IMmotion150-p83425-ar-25f19
402,IMmotion150-p77642-ar-cbdf8
403,IMmotion150-p11316-ar-e45c7
404,IMmotion150-p07343-ar-2bb4a
405,IMmotion150-p76620-ar-e3505
406,IMmotion150-p60814-ar-1c2a5
407,IMmotion150-p78200-ar-d4750
408,IMmotion150-p71382-ar-b68f5
409,IMmotion150-p03665-ar-04d83
410,IMmotion150-p18256-ar-fbb29
411,IMmotion150-p09050-ar-32c34
412,IMmotion150-p36954-ar-44107
413,IMmotion150-p27487-ar-1478d
414,IMmotion150-p51832-ar-890dd
415,IMmotion150-p30781-ar-4ae11
416,IMmotion150-p90969-ar-eb279
417,IMmotion150-p45459-ar-1af67
418,IMmotion150-p82438-ar-00760
419,IMmotion150-p35317-ar-355c3
420,IMmotion150-p59809-ar-82372
421,IMmotion150-p84792-ar-cf28c
422,IMmotion150-p87381-ar-053ea
423,IMmotion150-p80740-ar-0d631
424,IMmotion150-p16409-ar-85d99
425,IMmotion150-p49991-ar-5d93a
426,IMmotion150-p84835-ar-0f59f
427,IMmotion150-p34855-ar-89f86
428,IMmotion150-p17426-ar-6ae0d
429,IMmotion150-p05544-ar-43b75
430,IMmotion150-p65181-ar-d3009
431,IMmotion150-p40536-ar-3579c
432,IMmotion150-p54120-ar-0f1aa
433,IMmotion150-p65110-ar-1da68
434,IMmotion150-p12053-ar-48bda
435,IMmotion150-p37173-ar-293a5
436,IMmotion150-p69645-ar-a30d9
437,IMmotion150-p91392-ar-c1e57
438,IMmotion150-p10717-ar-0e5a9
439,IMmotion150-p18226-ar-4f0a6
440,IMmotion150-p96212-ar-544d1
441,IMmotion150-p74056-ar-e60f3
442,IMmotion150-p36298-ar-fad25
443,IMmotion150-p73644-ar-34124
444,IMmotion150-p21389-ar-a2f5d
445,IMmotion150-p41186-ar-1d209
446,IMmotion150-p89981-ar-824ee
447,IMmotion150-p58299-ar-b22ec
448,IMmotion150-p53431-ar-d8ed2
449,IMmotion150-p73444-ar-3465e
450,IMmotion150-p32922-ar-6366a
451,IMmotion150-p43872-ar-6c7f9
452,IMmotion150-p82773-ar-35d10
453,IMmotion150-p50066-ar-6c06c
454,IMmotion150-p88355-ar-06384
455,IMmotion150-p60596-ar-f566c
456,IMmotion150-p14153-ar-71492
457,IMmotion150-p56741-ar-2a443
458,IMmotion150-p21222-ar-1418a
459,IMmotion150-p75429-ar-a2056
460,IMmotion150-p50830-ar-c3b4a
461,IMmotion150-p37093-ar-3d98a
462,IMmotion150-p47331-ar-ab299
463,IMmotion150-p05361-ar-cd767
464,IMmotion150-p97816-ar-1270d
465,IMmotion150-p69561-ar-e3544
466,IMmotion150-p78812-ar-68e58
467,IMmotion150-p16751-ar-7ebff
468,IMmotion150-p98637-ar-bcb5a
469,IMmotion150-p05370-ar-27be5
470,IMmotion150-p57764-ar-4767e
471,IMmotion150-p53162-ar-05824
472,IMmotion150-p55787-ar-a1497
473,IMmotion150-p20763-ar-edbe1
474,IMmotion150-p71388-ar-986de
475,IMmotion150-p71514-ar-e7bfc
476,IMmotion150-p82037-ar-d9253
477,IMmotion150-p31107-ar-a401d
478,IMmotion150-p59055-ar-4260f
479,IMmotion150-p77957-ar-88277
480,IMmotion150-p08100-ar-c4519
481,IMmotion150-p93090-ar-65a4c
482,IMmotion150-p28238-ar-3482d
483,IMmotion150-p28132-ar-99560
484,IMmotion150-p50697-ar-605a2
485,IMmotion150-p26304-ar-d7dcd
486,IMmotion150-p78631-ar-e9937
487,IMmotion150-p44376-ar-ac07f
488,IMmotion150-p46605-ar-eb284
489,IMmotion150-p07850-ar-50704
490,IMmotion150-p90170-ar-91593
491,IMmotion150-p90215-ar-05e00
492,IMmotion150-p77236-ar-c51eb
493,Kim_NatMed_2018-p667-ar-030
494,Kim_NatMed_2018-p634-ar-002
495,Kim_NatMed_2018-p656-ar-020
496,Kim_NatMed_2018-p657-ar-021
497,Kim_NatMed_2018-p603-ar-988
498,Kim_NatMed_2018-p641-ar-008
499,Kim_NatMed_2018-p623-ar-000
500,Kim_NatMed_2018-p644-ar-011
501,Kim_NatMed_2018-p620-ar-993
502,Kim_NatMed_2018-p645-ar-012
503,Kim_NatMed_2018-p625-ar-997
504,Kim_NatMed_2018-p655-ar-018
505,Kim_NatMed_2018-p642-ar-009
506,Kim_NatMed_2018-p659-ar-025
507,Kim_NatMed_2018-p630-ar-999
508,Kim_NatMed_2018-p663-ar-028
509,Kim_NatMed_2018-p622-ar-995
510,Kim_NatMed_2018-p649-ar-015
511,Kim_NatMed_2018-p635-ar-003
512,Kim_NatMed_2018-p669-ar-032
513,Kim_NatMed_2018-p637-ar-004
514,Kim_NatMed_2018-p666-ar-029
515,Kim_NatMed_2018-p605-ar-990
516,Kim_NatMed_2018-p618-ar-991
517,Kim_NatMed_2018-p624-ar-996
518,Kim_NatMed_2018-p651-ar-016
519,Kim_NatMed_2018-p640-ar-007
520,Kim_NatMed_2018-p632-ar-001
521,Kim_NatMed_2018-p639-ar-006
522,Kim_NatMed_2018-p631-ar-033
523,Kim_NatMed_2018-p648-ar-014
524,Kim_NatMed_2018-p660-ar-024
525,Kim_NatMed_2018-p652-ar-019
526,Kim_NatMed_2018-p619-ar-992
527,Kim_NatMed_2018-p654-ar-023
528,Kim_NatMed_2018-p643-ar-010
529,Patient38_T_M
530,Patient145_T
531,Patient20_T_M
532,Patient206_T
533,Patient4_T_M
534,Patient6_T_M
535,Patient21_T_M
536,Patient13_T_M
537,Patient130_T_P
538,Patient168_T
539,Patient188_T
540,Patient173_T
541,Patient196_T
542,Patient30_T_M
543,Patient22_T_M
544,Patient204_T
545,Patient137_T
546,Patient42_T_M
547,Patient146_T
548,Patient185_T
549,Patient187_T
550,Patient25_T_M
551,Patient159_T
552,Patient47_T_M
553,Patient203_T
554,Patient169_T
555,Patient126_T_P
556,Patient149_T
557,Patient121_T_P
558,Patient99_T_P
559,Patient150_T
560,Patient40_T_M
561,Patient102_T_P
562,Patient112_T_P
563,Patient156_T
564,Patient77_T_P
565,Patient147_T
566,Patient195_T
567,Patient135_T
568,Patient11_T_M
569,Patient35_T_M
570,Patient167_T
571,Patient48_T_M
572,Patient197_T
573,Patient127_T_P
574,Patient56_T_M
575,Patient100_T_P
576,Patient162_T
577,Patient106_T_P
578,Patient163_T
579,Patient193_T
580,Patient8_T_M
581,Patient132_T
582,Patient31_T_M
583,Patient133_T
584,Patient1_T_M
585,Patient45_T_M
586,Patient166_T
587,Patient32_T_M
588,Patient27_T_M
589,Patient37_T_M
590,Patient158_T
591,Patient34_T_M
592,Patient172_T
593,Patient94_T_P
594,Patient140_T
595,Patient86_T_P
596,Patient67_T_P
597,Patient181_T
598,Patient10_T_M
599,Patient24_T_M
600,Patient154_T
601,Patient7_T_M
602,Patient116_T_P
603,Patient9_T_M
604,Patient134_T
605,Patient18_T_M
606,Patient155_T
607,Patient63_T_P
608,Patient165_T
609,Patient170_T
610,Patient125_T_P
611,Patient36_T_M
612,Patient117_T_P
613,Patient191_T
614,Patient83_T_P
615,115T-Tumor-SM-BZ9WG
616,255T-Tumor-SM-CO8YG
617,155T-Tumor-SM-BZ9WV
618,278T-Tumor-SM-CRSYW
619,292T-Tumor-SM-CDZ2C
620,208T-Tumor-SM-AH3NE
621,43T-Tumor-SM-CO8YI
622,77T-Tumor-SM-BZ9W8
623,391T-Tumor-SM-AZXNX
624,333T-Tumor-SM-AZXNZ
625,PDL002T-Tumor-SM-BZ9WQ
626,272T-Tumor-SM-BZ9X7
627,422T-Tumor-SM-BZ9WK
628,PD004T-Tumor-SM-BZ9XG
629,42T-Tumor-SM-BZ9VZ
630,166T-Tumor-SM-AZXO4
631,39T-Tumor-SM-BZ9VS
632,122T-Tumor-SM-BZ9WT
633,126T-Tumor-SM-CDZ2D
634,356T-Tumor-SM-AZXNY
635,98T-Tumor-SM-BZ9WA
636,212T-Tumor-SM-BZ9X2
637,Bl1AT-Tumor-SM-BZ9XO
638,102T-Tumor-SM-BZ9XL
639,148T-Tumor-SM-BZ9XH
640,430T-Tumor-SM-AZXO1
641,383T-Tumor-SM-BZ9WI
642,Miao_Science_2018-p0007-ar-200
643,Miao_Science_2018-p0019-ar-196
644,Miao_Science_2018-p0012-ar-206
645,Miao_Science_2018-p0024-ar-192
646,Miao_Science_2018-p0023-ar-197
647,Miao_Science_2018-p0005-ar-201
648,Miao_Science_2018-p0022-ar-198
649,Miao_Science_2018-p0011-ar-202
650,Miao_Science_2018-p0015-ar-194
651,Miao_Science_2018-p0013-ar-204
652,Miao_Science_2018-p0021-ar-190
653,Miao_Science_2018-p0014-ar-199
654,Miao_Science_2018-p0018-ar-195
655,Miao_Science_2018-p0010-ar-191
656,Pt90_Pre_AD467873
657,Pt34_Pre_AD466985
658,Pt77_Pre_AD733591
659,Pt59_Pre_AD823915
660,Pt92_Pre_AE134060
661,Pt38_Pre_E9200719
662,Pt103_Pre_AE134058
663,Pt78_Pre_AD467018
664,Pt2_Pre_AD101150
665,Pt67_Pre_AD506074
666,Pt9_Pre_E9021024
667,Pt17_Pre_E9047563
668,Pt82_Pre_AD823914
669,Pt101_Pre_AD486328
670,Pt89_Pre_AE070951
671,Pt24_Pre_AD436687
672,Pt3_Pre_E9024733
673,Pt65_Pre_AD793919
674,Pt10_Pre_E9047565
675,Pt79_Pre_AD733587
676,Pt4_Pre_E9021023
677,Pt29_Pre_AD497504
678,Pt28_Pre_AD297619
679,Pt18_Pre_E9024732
680,Pt39_Pre_AD485899
681,Pt106_Pre_AD502250
682,Pt85_Pre_AD486329
683,Pt52_Pre_AD506075
684,Pt27_Pre_AD453873
685,Pt44_Pre_AD467790
686,Pt72_Pre_AD793922
687,Pt11_Pre_AD153352
688,Pt47_Pre_AD506073
689,Pt76_Pre_AD667852
690,Pt26_Pre_AD467789
691,Pt66_Pre_AD667850
692,Pt46_Pre_AD467096
693,Pt23_Pre_AD313075
694,Pt94_Pre_AD732850
695,Pt1_Pre_AD101148
696,Pt8_Pre_AD153354
697,UCC_Rose_RS.03239031
698,UCC_Rose_RS.03238959
699,UCC_Rose_RS.03239014
700,UCC_Rose_RS.03238990
701,UCC_Rose_RS.03239005
702,UCC_Rose_RS.03238978
703,UCC_Rose_RS.03238973
704,UCC_Rose_RS.03238999
705,UCC_Rose_RS.03238969
706,UCC_Rose_RS.03238979
707,UCC_Rose_RS.03239027
708,UCC_Rose_RS.03239012
709,UCC_Rose_RS.03238980
710,UCC_Rose_RS.03238996
711,UCC_Rose_RS.03239003
712,UCC_Rose_RS.03239010
713,UCC_Rose_RS.03238983
714,UCC_Rose_RS.03238981
715,UCC_Rose_RS.03238986
716,UCC_Rose_RS.03239034
717,UCC_Rose_RS.03238962
718,UCC_Rose_RS.03239017
719,UCC_Rose_RS.03239025
720,UCC_Rose_RS.03238994
721,UCC_Rose_RS.03238984
722,UCC_Rose_RS.03238970
723,UCC_Rose_RS.03238968
